State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,25/03/2025,300,2502,1400
"Andhra Pradesh",Chittor,Vayalapadu,Tomato,Hybrid,FAQ,25/03/2025,800,880,840
"Andhra Pradesh","East Godavari",Rajahmundry,"Karbuja(Musk Melon)",Karbhuja,Medium,25/03/2025,3500,3800,3600
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Bhushavali(Pacha),Large,25/03/2025,1700,2200,1900
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Finger,FAQ,25/03/2025,10500,11100,11001
"Andhra Pradesh",Guntur,Tenali,Lemon,Lemon,FAQ,25/03/2025,6500,8100,7400
"Andhra Pradesh",Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,25/03/2025,2250,2350,2300
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,25/03/2025,2300,2500,2350
"Andhra Pradesh",Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,25/03/2025,3242,6550,6222
"Andhra Pradesh",Kurnool,Nandyal,Paddy(Dhan)(Common),"Sona Mahsuri",Non-FAQ,25/03/2025,1850,1850,1850
"Andhra Pradesh",Kurnool,Yemmiganur,Groundnut,TMV-2,FAQ,25/03/2025,4589,6309,5470
"Andhra Pradesh",Visakhapatnam,Chintapally,Turmeric,Finger,FAQ,25/03/2025,9000,10000,9500
Assam,Barpeta,"Barpeta Road","Bhindi(Ladies Finger)",Bhindi,Local,25/03/2025,3700,4000,3800
Assam,Barpeta,"Barpeta Road",Drumstick,Drumstick,Local,25/03/2025,3000,3300,3200
Assam,Cachar,Kashipur,Cauliflower,Cauliflower,Local,25/03/2025,1500,1600,1500
Assam,Cachar,Kashipur,"French Beans (Frasbean)","French Beans (Frasbean)",Local,25/03/2025,2000,2200,2200
Assam,Darrang,Balugaon,"Bottle gourd","Bottle Gourd",Local,25/03/2025,800.04,1000.05,933.38
Assam,Dhubri,Bilasipara,Tomato,Tomato,Local,25/03/2025,500,600,500
Assam,Goalpara,Simlitola,Beetroot,Beetroot,Local,25/03/2025,1800,2200,2000
Assam,Goalpara,Simlitola,"Green Chilli","Green Chilly",Local,25/03/2025,2000,2400,2000
Assam,Goalpara,Simlitola,Pumpkin,Pumpkin,Local,25/03/2025,800,1000,800
Assam,Golaghat,Golaghat,Cauliflower,Cauliflower,Local,25/03/2025,1200,1300,1300
Assam,Kamrup,Pamohi(Garchuk),Capsicum,Capsicum,Local,25/03/2025,1800,2000,1800
Assam,Kamrup,Pamohi(Garchuk),Cauliflower,Cauliflower,Local,25/03/2025,1200,1400,1300
Assam,Kamrup,Pamohi(Garchuk),Lemon,Lemon,Local,25/03/2025,2668,2934.8,2801.4
Assam,Kamrup,Sontoli,Beans,"Beans (Whole)",Local,25/03/2025,1600,1800,1700
Assam,Kamrup,Sontoli,Cabbage,Cabbage,Local,25/03/2025,800,900,800
Assam,"Karbi Anglong",Diphu,"Bhindi(Ladies Finger)",Bhindi,Local,25/03/2025,5000,5500,5500
Assam,"Karbi Anglong",Diphu,"Bitter gourd","Bitter Gourd",Local,25/03/2025,3000,3500,3000
Assam,"Karbi Anglong",Diphu,Cauliflower,Cauliflower,Local,25/03/2025,1300,1400,1400
Assam,Kokrajhar,Gossaigaon,Tomato,Tomato,Local,25/03/2025,800,1000,900
Assam,Lakhimpur,Baginadi,Cabbage,Cabbage,Local,25/03/2025,400,600,600
Assam,Lakhimpur,Baginadi,Ginger(Green),"Green Ginger",Local,25/03/2025,3800,4000,4000
Assam,Lakhimpur,Baginadi,Pumpkin,Pumpkin,Local,25/03/2025,800,900,900
Assam,Nalbari,Mukalmua,"Bitter gourd","Bitter Gourd",Local,25/03/2025,2600,3000,3000
Assam,Nalbari,Mukalmua,Capsicum,Capsicum,Local,25/03/2025,1000,1500,1200
Assam,Sibsagar,Sibsagar,Cabbage,Cabbage,Local,25/03/2025,1000,1100,1100
Assam,Sibsagar,Sibsagar,"Green Chilli","Green Chilly",Local,25/03/2025,3700,4000,4000
Assam,Sonitpur,Dhekiajuli,"Bottle gourd","Bottle Gourd",Local,25/03/2025,666.7,800.04,800.04
Assam,Sonitpur,Dhekiajuli,Capsicum,Capsicum,Local,25/03/2025,800,900,900
Assam,Sonitpur,Dhekiajuli,Cauliflower,Cauliflower,Local,25/03/2025,800,1000,1000
Assam,Sonitpur,Dhekiajuli,Lemon,Lemon,Local,25/03/2025,3201.6,3735.2,3735.2
Bihar,Araria,Forbesganj,Potato,Jyoti,FAQ,25/03/2025,900,1300,1100
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Other,FAQ,25/03/2025,300,500,400
Goa,"North Goa",Mapusa,Grapes,Green,Large,25/03/2025,5000,5000,5000
Goa,"North Goa",Mapusa,Orange,Orange,Medium,25/03/2025,2000,2000,2000
Gujarat,Ahmedabad,"Ahmedabad(Chimanbhai Patal Market Vasana)",Potato,Desi,FAQ,25/03/2025,500,1000,850
Gujarat,Ahmedabad,Viramgam,Cotton,Other,Non-FAQ,25/03/2025,5945,7390,6670
Gujarat,Amreli,Damnagar,"Bhindi(Ladies Finger)",Bhindi,FAQ,25/03/2025,4250,5050,4800
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,25/03/2025,1200,2050,1850
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,25/03/2025,250,750,400
Gujarat,Amreli,Dhari,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",Non-FAQ,25/03/2025,5150,6625,6120
Gujarat,Anand,"Anand(Veg,Yard,Anand)","Bottle gourd","Bottle Gourd",FAQ,25/03/2025,500,1000,750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Lemon,Lemon,FAQ,25/03/2025,7500,8000,7750
Gujarat,Anand,Umreth,Wheat,Deshi,FAQ,25/03/2025,2350,2425,2420
Gujarat,Banaskanth,Amirgadh,"Castor Seed","Castor seed",FAQ,25/03/2025,6160,6190,6175
Gujarat,Banaskanth,Deesa,"Castor Seed",Other,FAQ,25/03/2025,6175,6340,6275
Gujarat,Banaskanth,Deesa,Soanf,Other,FAQ,25/03/2025,10000,10000,10000
Gujarat,Banaskanth,Deesa(Bhildi),Rajgir,Other,FAQ,25/03/2025,5275,5630,5600
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Banana,Other,Medium,25/03/2025,3000,3400,3200
