Date,State,Category,Product,Price
2020-01-01,Andhra Pradesh,Fruits,Apple,60.23
2020-01-31,Andhra Pradesh,Fruits,Apple,50.07
2020-03-01,Andhra Pradesh,Fruits,Apple,75.08
2020-03-31,Andhra Pradesh,Fruits,Apple,114.1
2020-04-30,Andhra Pradesh,Fruits,Apple,31.35
2020-05-30,Andhra Pradesh,Fruits,Apple,132.77
2020-06-29,Andhra Pradesh,Fruits,Apple,88.49
2020-07-29,Andhra Pradesh,Fruits,Apple,144.05
2020-08-28,Andhra Pradesh,Fruits,Apple,99.07
2020-09-27,Andhra Pradesh,Fruits,Apple,125.64
2020-10-27,Andhra Pradesh,Fruits,Apple,86.44
2020-11-26,Andhra Pradesh,Fruits,Apple,137.66
2020-12-26,Andhra Pradesh,Fruits,Apple,116.35
2021-01-25,Andhra Pradesh,Fruits,Apple,74.48
2021-02-24,Andhra Pradesh,Fruits,Apple,35.48
2021-03-26,Andhra Pradesh,Fruits,Apple,117.97
2021-04-25,Andhra Pradesh,Fruits,Apple,94.21
2021-05-25,Andhra Pradesh,Fruits,Apple,78.45
2021-06-24,Andhra Pradesh,Fruits,Apple,63.6
2021-07-24,Andhra Pradesh,Fruits,Apple,107.66
2021-08-23,Andhra Pradesh,Fruits,Apple,115.35
2021-09-22,Andhra Pradesh,Fruits,Apple,78.09
2021-10-22,Andhra Pradesh,Fruits,Apple,34.98
2021-11-21,Andhra Pradesh,Fruits,Apple,145.07
2021-12-21,Andhra Pradesh,Fruits,Apple,60.55
2022-01-20,Andhra Pradesh,Fruits,Apple,49.96
2022-02-19,Andhra Pradesh,Fruits,Apple,100.84
2022-03-21,Andhra Pradesh,Fruits,Apple,86.39
2022-04-20,Andhra Pradesh,Fruits,Apple,44.87
2022-05-20,Andhra Pradesh,Fruits,Apple,146.93
2022-06-19,Andhra Pradesh,Fruits,Apple,37.99
2022-07-19,Andhra Pradesh,Fruits,Apple,109.98
2022-08-18,Andhra Pradesh,Fruits,Apple,40.39
2022-09-17,Andhra Pradesh,Fruits,Apple,75.68
2022-10-17,Andhra Pradesh,Fruits,Apple,45.85
2022-11-16,Andhra Pradesh,Fruits,Apple,136.37
2022-12-16,Andhra Pradesh,Fruits,Apple,120.35
2023-01-15,Andhra Pradesh,Fruits,Apple,114.32
2023-02-14,Andhra Pradesh,Fruits,Apple,132.4
2023-03-16,Andhra Pradesh,Fruits,Apple,66.16
2023-04-15,Andhra Pradesh,Fruits,Apple,104.59
2023-05-15,Andhra Pradesh,Fruits,Apple,100.48
2023-06-14,Andhra Pradesh,Fruits,Apple,36.27
2023-07-14,Andhra Pradesh,Fruits,Apple,92.47
2023-08-13,Andhra Pradesh,Fruits,Apple,56.2
2023-09-12,Andhra Pradesh,Fruits,Apple,56.03
2023-10-12,Andhra Pradesh,Fruits,Apple,45.13
2023-11-11,Andhra Pradesh,Fruits,Apple,128.53
2023-12-11,Andhra Pradesh,Fruits,Apple,47.03
2024-01-10,Andhra Pradesh,Fruits,Apple,41.12
2024-02-09,Andhra Pradesh,Fruits,Apple,101.85
2024-03-10,Andhra Pradesh,Fruits,Apple,140.75
2024-04-09,Andhra Pradesh,Fruits,Apple,118.45
2024-05-09,Andhra Pradesh,Fruits,Apple,98.38
2024-06-08,Andhra Pradesh,Fruits,Apple,128.96
2024-07-08,Andhra Pradesh,Fruits,Apple,50.03
2024-08-07,Andhra Pradesh,Fruits,Apple,125.06
2024-09-06,Andhra Pradesh,Fruits,Apple,80.61
2024-10-06,Andhra Pradesh,Fruits,Apple,33.86
2024-11-05,Andhra Pradesh,Fruits,Apple,44.06
2020-01-01,Andhra Pradesh,Fruits,Banana,147.81
2020-01-31,Andhra Pradesh,Fruits,Banana,118.62
2020-03-01,Andhra Pradesh,Fruits,Banana,113.45
2020-03-31,Andhra Pradesh,Fruits,Banana,145.27
2020-04-30,Andhra Pradesh,Fruits,Banana,87.35
2020-05-30,Andhra Pradesh,Fruits,Banana,76.12
2020-06-29,Andhra Pradesh,Fruits,Banana,78.37
2020-07-29,Andhra Pradesh,Fruits,Banana,117.14
2020-08-28,Andhra Pradesh,Fruits,Banana,146.17
2020-09-27,Andhra Pradesh,Fruits,Banana,131.68
2020-10-27,Andhra Pradesh,Fruits,Banana,54.27
2020-11-26,Andhra Pradesh,Fruits,Banana,116.74
2020-12-26,Andhra Pradesh,Fruits,Banana,107.14
2021-01-25,Andhra Pradesh,Fruits,Banana,101.87
2021-02-24,Andhra Pradesh,Fruits,Banana,129.34
2021-03-26,Andhra Pradesh,Fruits,Banana,45.99
2021-04-25,Andhra Pradesh,Fruits,Banana,93.3
2021-05-25,Andhra Pradesh,Fruits,Banana,106.28
2021-06-24,Andhra Pradesh,Fruits,Banana,102.52
2021-07-24,Andhra Pradesh,Fruits,Banana,94.79
2021-08-23,Andhra Pradesh,Fruits,Banana,48.4
2021-09-22,Andhra Pradesh,Fruits,Banana,143.57
2021-10-22,Andhra Pradesh,Fruits,Banana,35.79
2021-11-21,Andhra Pradesh,Fruits,Banana,73.65
2021-12-21,Andhra Pradesh,Fruits,Banana,111.56
2022-01-20,Andhra Pradesh,Fruits,Banana,79.79
2022-02-19,Andhra Pradesh,Fruits,Banana,41.61
2022-03-21,Andhra Pradesh,Fruits,Banana,92.16
2022-04-20,Andhra Pradesh,Fruits,Banana,83.54
2022-05-20,Andhra Pradesh,Fruits,Banana,130.4
2022-06-19,Andhra Pradesh,Fruits,Banana,46.25
2022-07-19,Andhra Pradesh,Fruits,Banana,149.19
2022-08-18,Andhra Pradesh,Fruits,Banana,36.08
2022-09-17,Andhra Pradesh,Fruits,Banana,56.3
2022-10-17,Andhra Pradesh,Fruits,Banana,43.32
2022-11-16,Andhra Pradesh,Fruits,Banana,138.82
2022-12-16,Andhra Pradesh,Fruits,Banana,135.95
2023-01-15,Andhra Pradesh,Fruits,Banana,140.01
2023-02-14,Andhra Pradesh,Fruits,Banana,53.72
2023-03-16,Andhra Pradesh,Fruits,Banana,33.42
2023-04-15,Andhra Pradesh,Fruits,Banana,131.53
2023-05-15,Andhra Pradesh,Fruits,Banana,113.85
2023-06-14,Andhra Pradesh,Fruits,Banana,63.95
2023-07-14,Andhra Pradesh,Fruits,Banana,99.2
2023-08-13,Andhra Pradesh,Fruits,Banana,122.16
2023-09-12,Andhra Pradesh,Fruits,Banana,51.84
2023-10-12,Andhra Pradesh,Fruits,Banana,132.07
2023-11-11,Andhra Pradesh,Fruits,Banana,148.54
2023-12-11,Andhra Pradesh,Fruits,Banana,107.01
2024-01-10,Andhra Pradesh,Fruits,Banana,42.53
2024-02-09,Andhra Pradesh,Fruits,Banana,67.98
2024-03-10,Andhra Pradesh,Fruits,Banana,74.65
2024-04-09,Andhra Pradesh,Fruits,Banana,108.48
2024-05-09,Andhra Pradesh,Fruits,Banana,123.68
2024-06-08,Andhra Pradesh,Fruits,Banana,112.36
2024-07-08,Andhra Pradesh,Fruits,Banana,134.28
2024-08-07,Andhra Pradesh,Fruits,Banana,89.35
2024-09-06,Andhra Pradesh,Fruits,Banana,43.3
2024-10-06,Andhra Pradesh,Fruits,Banana,41.55
2024-11-05,Andhra Pradesh,Fruits,Banana,106.95
2020-01-01,Andhra Pradesh,Fruits,Mango,80.17
2020-01-31,Andhra Pradesh,Fruits,Mango,144.12
2020-03-01,Andhra Pradesh,Fruits,Mango,44.45
2020-03-31,Andhra Pradesh,Fruits,Mango,139.78
2020-04-30,Andhra Pradesh,Fruits,Mango,149.03
2020-05-30,Andhra Pradesh,Fruits,Mango,36.6
2020-06-29,Andhra Pradesh,Fruits,Mango,68.11
2020-07-29,Andhra Pradesh,Fruits,Mango,83.79
2020-08-28,Andhra Pradesh,Fruits,Mango,110.52
2020-09-27,Andhra Pradesh,Fruits,Mango,93.33
2020-10-27,Andhra Pradesh,Fruits,Mango,146.43
2020-11-26,Andhra Pradesh,Fruits,Mango,36.81
2020-12-26,Andhra Pradesh,Fruits,Mango,135.79
2021-01-25,Andhra Pradesh,Fruits,Mango,69.31
2021-02-24,Andhra Pradesh,Fruits,Mango,82.65
2021-03-26,Andhra Pradesh,Fruits,Mango,131.85
2021-04-25,Andhra Pradesh,Fruits,Mango,120.42
2021-05-25,Andhra Pradesh,Fruits,Mango,88.59
2021-06-24,Andhra Pradesh,Fruits,Mango,137.14
2021-07-24,Andhra Pradesh,Fruits,Mango,65.19
2021-08-23,Andhra Pradesh,Fruits,Mango,142.46
2021-09-22,Andhra Pradesh,Fruits,Mango,73.16
2021-10-22,Andhra Pradesh,Fruits,Mango,86.72
2021-11-21,Andhra Pradesh,Fruits,Mango,98.21
2021-12-21,Andhra Pradesh,Fruits,Mango,98.53
2022-01-20,Andhra Pradesh,Fruits,Mango,73.88
2022-02-19,Andhra Pradesh,Fruits,Mango,77.66
2022-03-21,Andhra Pradesh,Fruits,Mango,34.43
2022-04-20,Andhra Pradesh,Fruits,Mango,36.47
2022-05-20,Andhra Pradesh,Fruits,Mango,139.39
2022-06-19,Andhra Pradesh,Fruits,Mango,147.78
2022-07-19,Andhra Pradesh,Fruits,Mango,39.77
2022-08-18,Andhra Pradesh,Fruits,Mango,143.42
2022-09-17,Andhra Pradesh,Fruits,Mango,37.61
2022-10-17,Andhra Pradesh,Fruits,Mango,64.7
2022-11-16,Andhra Pradesh,Fruits,Mango,32.66
2022-12-16,Andhra Pradesh,Fruits,Mango,36.39
2023-01-15,Andhra Pradesh,Fruits,Mango,140.61
2023-02-14,Andhra Pradesh,Fruits,Mango,115.5
2023-03-16,Andhra Pradesh,Fruits,Mango,101.41
2023-04-15,Andhra Pradesh,Fruits,Mango,149.32
2023-05-15,Andhra Pradesh,Fruits,Mango,112.94
2023-06-14,Andhra Pradesh,Fruits,Mango,32.72
2023-07-14,Andhra Pradesh,Fruits,Mango,56.96
2023-08-13,Andhra Pradesh,Fruits,Mango,140.96
2023-09-12,Andhra Pradesh,Fruits,Mango,144.19
2023-10-12,Andhra Pradesh,Fruits,Mango,97.72
2023-11-11,Andhra Pradesh,Fruits,Mango,75.54
2023-12-11,Andhra Pradesh,Fruits,Mango,72.49
2024-01-10,Andhra Pradesh,Fruits,Mango,46.1
2024-02-09,Andhra Pradesh,Fruits,Mango,99.79
2024-03-10,Andhra Pradesh,Fruits,Mango,55.58
2024-04-09,Andhra Pradesh,Fruits,Mango,132.63
2024-05-09,Andhra Pradesh,Fruits,Mango,130.33
2024-06-08,Andhra Pradesh,Fruits,Mango,50.97
2024-07-08,Andhra Pradesh,Fruits,Mango,102.79
2024-08-07,Andhra Pradesh,Fruits,Mango,136.2
2024-09-06,Andhra Pradesh,Fruits,Mango,85.54
2024-10-06,Andhra Pradesh,Fruits,Mango,130.24
2024-11-05,Andhra Pradesh,Fruits,Mango,90.43
2020-01-01,Andhra Pradesh,Fruits,Orange,39.99
2020-01-31,Andhra Pradesh,Fruits,Orange,140.57
2020-03-01,Andhra Pradesh,Fruits,Orange,52.33
2020-03-31,Andhra Pradesh,Fruits,Orange,120.69
2020-04-30,Andhra Pradesh,Fruits,Orange,133.18
2020-05-30,Andhra Pradesh,Fruits,Orange,141.71
2020-06-29,Andhra Pradesh,Fruits,Orange,50.71
2020-07-29,Andhra Pradesh,Fruits,Orange,72.43
2020-08-28,Andhra Pradesh,Fruits,Orange,141.17
2020-09-27,Andhra Pradesh,Fruits,Orange,112.87
2020-10-27,Andhra Pradesh,Fruits,Orange,75.49
2020-11-26,Andhra Pradesh,Fruits,Orange,84.18
2020-12-26,Andhra Pradesh,Fruits,Orange,45.01
2021-01-25,Andhra Pradesh,Fruits,Orange,85.77
2021-02-24,Andhra Pradesh,Fruits,Orange,47.63
2021-03-26,Andhra Pradesh,Fruits,Orange,99.84
2021-04-25,Andhra Pradesh,Fruits,Orange,75.77
2021-05-25,Andhra Pradesh,Fruits,Orange,40.16
2021-06-24,Andhra Pradesh,Fruits,Orange,101.28
2021-07-24,Andhra Pradesh,Fruits,Orange,49.66
2021-08-23,Andhra Pradesh,Fruits,Orange,109.67
2021-09-22,Andhra Pradesh,Fruits,Orange,63.24
2021-10-22,Andhra Pradesh,Fruits,Orange,88.0
2021-11-21,Andhra Pradesh,Fruits,Orange,97.87
2021-12-21,Andhra Pradesh,Fruits,Orange,44.9
2022-01-20,Andhra Pradesh,Fruits,Orange,143.8
2022-02-19,Andhra Pradesh,Fruits,Orange,50.95
2022-03-21,Andhra Pradesh,Fruits,Orange,67.73
2022-04-20,Andhra Pradesh,Fruits,Orange,146.27
2022-05-20,Andhra Pradesh,Fruits,Orange,75.58
2022-06-19,Andhra Pradesh,Fruits,Orange,42.44
2022-07-19,Andhra Pradesh,Fruits,Orange,58.64
2022-08-18,Andhra Pradesh,Fruits,Orange,96.56
2022-09-17,Andhra Pradesh,Fruits,Orange,110.65
2022-10-17,Andhra Pradesh,Fruits,Orange,43.06
2022-11-16,Andhra Pradesh,Fruits,Orange,53.92
2022-12-16,Andhra Pradesh,Fruits,Orange,35.63
2023-01-15,Andhra Pradesh,Fruits,Orange,141.74
2023-02-14,Andhra Pradesh,Fruits,Orange,113.09
2023-03-16,Andhra Pradesh,Fruits,Orange,92.39
2023-04-15,Andhra Pradesh,Fruits,Orange,108.75
2023-05-15,Andhra Pradesh,Fruits,Orange,97.52
2023-06-14,Andhra Pradesh,Fruits,Orange,30.67
2023-07-14,Andhra Pradesh,Fruits,Orange,57.51
2023-08-13,Andhra Pradesh,Fruits,Orange,85.74
2023-09-12,Andhra Pradesh,Fruits,Orange,40.0
2023-10-12,Andhra Pradesh,Fruits,Orange,37.08
2023-11-11,Andhra Pradesh,Fruits,Orange,41.7
2023-12-11,Andhra Pradesh,Fruits,Orange,99.33
2024-01-10,Andhra Pradesh,Fruits,Orange,124.51
2024-02-09,Andhra Pradesh,Fruits,Orange,90.68
2024-03-10,Andhra Pradesh,Fruits,Orange,61.21
2024-04-09,Andhra Pradesh,Fruits,Orange,129.56
2024-05-09,Andhra Pradesh,Fruits,Orange,142.4
2024-06-08,Andhra Pradesh,Fruits,Orange,88.67
2024-07-08,Andhra Pradesh,Fruits,Orange,135.25
2024-08-07,Andhra Pradesh,Fruits,Orange,81.41
2024-09-06,Andhra Pradesh,Fruits,Orange,120.44
2024-10-06,Andhra Pradesh,Fruits,Orange,111.78
2024-11-05,Andhra Pradesh,Fruits,Orange,127.79
2020-01-01,Andhra Pradesh,Fruits,Pineapple,116.59
2020-01-31,Andhra Pradesh,Fruits,Pineapple,118.92
2020-03-01,Andhra Pradesh,Fruits,Pineapple,37.71
2020-03-31,Andhra Pradesh,Fruits,Pineapple,133.18
2020-04-30,Andhra Pradesh,Fruits,Pineapple,45.45
2020-05-30,Andhra Pradesh,Fruits,Pineapple,40.36
2020-06-29,Andhra Pradesh,Fruits,Pineapple,127.8
2020-07-29,Andhra Pradesh,Fruits,Pineapple,41.88
2020-08-28,Andhra Pradesh,Fruits,Pineapple,87.18
2020-09-27,Andhra Pradesh,Fruits,Pineapple,58.45
2020-10-27,Andhra Pradesh,Fruits,Pineapple,98.79
2020-11-26,Andhra Pradesh,Fruits,Pineapple,118.38
2020-12-26,Andhra Pradesh,Fruits,Pineapple,80.08
2021-01-25,Andhra Pradesh,Fruits,Pineapple,145.67
2021-02-24,Andhra Pradesh,Fruits,Pineapple,137.5
2021-03-26,Andhra Pradesh,Fruits,Pineapple,92.33
2021-04-25,Andhra Pradesh,Fruits,Pineapple,129.9
2021-05-25,Andhra Pradesh,Fruits,Pineapple,60.01
2021-06-24,Andhra Pradesh,Fruits,Pineapple,69.95
2021-07-24,Andhra Pradesh,Fruits,Pineapple,92.69
2021-08-23,Andhra Pradesh,Fruits,Pineapple,62.58
2021-09-22,Andhra Pradesh,Fruits,Pineapple,49.88
2021-10-22,Andhra Pradesh,Fruits,Pineapple,125.42
2021-11-21,Andhra Pradesh,Fruits,Pineapple,67.3
2021-12-21,Andhra Pradesh,Fruits,Pineapple,59.98
2022-01-20,Andhra Pradesh,Fruits,Pineapple,111.72
2022-02-19,Andhra Pradesh,Fruits,Pineapple,66.62
2022-03-21,Andhra Pradesh,Fruits,Pineapple,95.51
2022-04-20,Andhra Pradesh,Fruits,Pineapple,149.66
2022-05-20,Andhra Pradesh,Fruits,Pineapple,65.11
2022-06-19,Andhra Pradesh,Fruits,Pineapple,137.32
2022-07-19,Andhra Pradesh,Fruits,Pineapple,121.15
2022-08-18,Andhra Pradesh,Fruits,Pineapple,146.06
2022-09-17,Andhra Pradesh,Fruits,Pineapple,138.77
2022-10-17,Andhra Pradesh,Fruits,Pineapple,56.5
2022-11-16,Andhra Pradesh,Fruits,Pineapple,92.34
2022-12-16,Andhra Pradesh,Fruits,Pineapple,139.46
2023-01-15,Andhra Pradesh,Fruits,Pineapple,39.41
2023-02-14,Andhra Pradesh,Fruits,Pineapple,86.75
2023-03-16,Andhra Pradesh,Fruits,Pineapple,83.69
2023-04-15,Andhra Pradesh,Fruits,Pineapple,92.98
2023-05-15,Andhra Pradesh,Fruits,Pineapple,90.92
2023-06-14,Andhra Pradesh,Fruits,Pineapple,85.34
2023-07-14,Andhra Pradesh,Fruits,Pineapple,143.3
2023-08-13,Andhra Pradesh,Fruits,Pineapple,132.46
2023-09-12,Andhra Pradesh,Fruits,Pineapple,53.89
2023-10-12,Andhra Pradesh,Fruits,Pineapple,55.5
2023-11-11,Andhra Pradesh,Fruits,Pineapple,77.66
2023-12-11,Andhra Pradesh,Fruits,Pineapple,31.08
