Date,State,Category,Product,Price
2020-01-01,Andhra Pradesh,Fruits,Apple,60.23
2020-01-31,Andhra Pradesh,Fruits,Apple,50.07
2020-03-01,Andhra Pradesh,Fruits,Apple,75.08
2020-03-31,Andhra Pradesh,Fruits,Apple,114.1
2020-04-30,Andhra Pradesh,Fruits,Apple,31.35
2020-05-30,Andhra Pradesh,Fruits,Apple,132.77
2020-06-29,Andhra Pradesh,Fruits,Apple,88.49
2020-07-29,Andhra Pradesh,Fruits,Apple,144.05
2020-08-28,Andhra Pradesh,Fruits,Apple,99.07
2020-09-27,Andhra Pradesh,Fruits,Apple,125.64
2020-10-27,Andhra Pradesh,Fruits,Apple,86.44
2020-11-26,Andhra Pradesh,Fruits,Apple,137.66
2020-12-26,Andhra Pradesh,Fruits,Apple,116.35
2021-01-25,Andhra Pradesh,Fruits,Apple,74.48
2021-02-24,Andhra Pradesh,Fruits,Apple,35.48
2021-03-26,Andhra Pradesh,Fruits,Apple,117.97
2021-04-25,Andhra Pradesh,Fruits,Apple,94.21
2021-05-25,Andhra Pradesh,Fruits,Apple,78.45
2021-06-24,Andhra Pradesh,Fruits,Apple,63.6
2021-07-24,Andhra Pradesh,Fruits,Apple,107.66
2021-08-23,Andhra Pradesh,Fruits,Apple,115.35
2021-09-22,Andhra Pradesh,Fruits,Apple,78.09
2021-10-22,Andhra Pradesh,Fruits,Apple,34.98
2021-11-21,Andhra Pradesh,Fruits,Apple,145.07
2021-12-21,Andhra Pradesh,Fruits,Apple,60.55
2022-01-20,Andhra Pradesh,Fruits,Apple,49.96
2022-02-19,Andhra Pradesh,Fruits,Apple,100.84
2022-03-21,Andhra Pradesh,Fruits,Apple,86.39
2022-04-20,Andhra Pradesh,Fruits,Apple,44.87
2022-05-20,Andhra Pradesh,Fruits,Apple,146.93
2022-06-19,Andhra Pradesh,Fruits,Apple,37.99
2022-07-19,Andhra Pradesh,Fruits,Apple,109.98
2022-08-18,Andhra Pradesh,Fruits,Apple,40.39
2022-09-17,Andhra Pradesh,Fruits,Apple,75.68
2022-10-17,Andhra Pradesh,Fruits,Apple,45.85
2022-11-16,Andhra Pradesh,Fruits,Apple,136.37
2022-12-16,Andhra Pradesh,Fruits,Apple,120.35
2023-01-15,Andhra Pradesh,Fruits,Apple,114.32
2023-02-14,Andhra Pradesh,Fruits,Apple,132.4
2023-03-16,Andhra Pradesh,Fruits,Apple,66.16
2023-04-15,Andhra Pradesh,Fruits,Apple,104.59
2023-05-15,Andhra Pradesh,Fruits,Apple,100.48
2023-06-14,Andhra Pradesh,Fruits,Apple,36.27
2023-07-14,Andhra Pradesh,Fruits,Apple,92.47
2023-08-13,Andhra Pradesh,Fruits,Apple,56.2
2023-09-12,Andhra Pradesh,Fruits,Apple,56.03
2023-10-12,Andhra Pradesh,Fruits,Apple,45.13
2023-11-11,Andhra Pradesh,Fruits,Apple,128.53
2023-12-11,Andhra Pradesh,Fruits,Apple,47.03
2024-01-10,Andhra Pradesh,Fruits,Apple,41.12
2024-02-09,Andhra Pradesh,Fruits,Apple,101.85
2024-03-10,Andhra Pradesh,Fruits,Apple,140.75
2024-04-09,Andhra Pradesh,Fruits,Apple,118.45
2024-05-09,Andhra Pradesh,Fruits,Apple,98.38
2024-06-08,Andhra Pradesh,Fruits,Apple,128.96
2024-07-08,Andhra Pradesh,Fruits,Apple,50.03
2024-08-07,Andhra Pradesh,Fruits,Apple,125.06
2024-09-06,Andhra Pradesh,Fruits,Apple,80.61
2024-10-06,Andhra Pradesh,Fruits,Apple,33.86
2024-11-05,Andhra Pradesh,Fruits,Apple,44.06
2020-01-01,Andhra Pradesh,Fruits,Banana,48.32784822736206
2020-01-31,Andhra Pradesh,Fruits,Banana,48.7863476660143
2020-03-01,Andhra Pradesh,Fruits,Banana,49.095041893926435
2020-03-31,Andhra Pradesh,Fruits,Banana,59.134341826905896
2020-04-30,Andhra Pradesh,Fruits,Banana,55.58539132558978
2020-05-30,Andhra Pradesh,Fruits,Banana,52.522798435505656
2020-06-29,Andhra Pradesh,Fruits,Banana,59.01432971048074
2020-07-29,Andhra Pradesh,Fruits,Banana,57.055934629680365
2020-08-28,Andhra Pradesh,Fruits,Banana,59.49630819674417
2020-09-27,Andhra Pradesh,Fruits,Banana,50.084405743491985
2020-10-27,Andhra Pradesh,Fruits,Banana,54.881760198061265
2020-11-26,Andhra Pradesh,Fruits,Banana,42.196248996564016
2020-12-26,Andhra Pradesh,Fruits,Banana,50.32008909770736
2021-01-25,Andhra Pradesh,Fruits,Banana,43.82243696411369
2021-02-24,Andhra Pradesh,Fruits,Banana,50.541876316664144
2021-03-26,Andhra Pradesh,Fruits,Banana,40.7870314333906
2021-04-25,Andhra Pradesh,Fruits,Banana,59.25910837025043
2021-05-25,Andhra Pradesh,Fruits,Banana,40.21862009881424
2021-06-24,Andhra Pradesh,Fruits,Banana,48.81179535637768
2021-07-24,Andhra Pradesh,Fruits,Banana,47.67852826719074
2021-08-23,Andhra Pradesh,Fruits,Banana,46.44057895227492
2021-09-22,Andhra Pradesh,Fruits,Banana,40.190168338232944
2021-10-22,Andhra Pradesh,Fruits,Banana,48.115843697498335
2021-11-21,Andhra Pradesh,Fruits,Banana,50.58332009191188
2021-12-21,Andhra Pradesh,Fruits,Banana,46.270449556605485
2022-01-20,Andhra Pradesh,Fruits,Banana,46.136116375587456
2022-02-19,Andhra Pradesh,Fruits,Banana,43.17417609391692
2022-03-21,Andhra Pradesh,Fruits,Banana,51.133542488890235
2022-04-20,Andhra Pradesh,Fruits,Banana,45.94898648846804
2022-05-20,Andhra Pradesh,Fruits,Banana,44.68229085147331
2022-06-19,Andhra Pradesh,Fruits,Banana,41.38641036952429
2022-07-19,Andhra Pradesh,Fruits,Banana,44.193377818978064
2022-08-18,Andhra Pradesh,Fruits,Banana,45.91212341032754
2022-09-17,Andhra Pradesh,Fruits,Banana,40.704383728227796
2022-10-17,Andhra Pradesh,Fruits,Banana,46.72795609321314
2022-11-16,Andhra Pradesh,Fruits,Banana,42.41620868613757
2022-12-16,Andhra Pradesh,Fruits,Banana,49.989588493881136
2023-01-15,Andhra Pradesh,Fruits,Banana,52.84655170882819
2023-02-14,Andhra Pradesh,Fruits,Banana,50.56035472848879
2023-03-16,Andhra Pradesh,Fruits,Banana,49.83524899577802
2023-04-15,Andhra Pradesh,Fruits,Banana,57.6226428920899
2023-05-15,Andhra Pradesh,Fruits,Banana,46.5990001145632
2023-06-14,Andhra Pradesh,Fruits,Banana,40.78981366855207
2023-07-14,Andhra Pradesh,Fruits,Banana,50.85123591451022
2023-08-13,Andhra Pradesh,Fruits,Banana,53.799949158209145
2023-09-12,Andhra Pradesh,Fruits,Banana,46.469976583612834
2023-10-12,Andhra Pradesh,Fruits,Banana,51.34374546253274
2023-11-11,Andhra Pradesh,Fruits,Banana,43.80515522660104
2023-12-11,Andhra Pradesh,Fruits,Banana,59.55548537664535
2024-01-10,Andhra Pradesh,Fruits,Banana,52.012742947799985
2024-02-09,Andhra Pradesh,Fruits,Banana,41.32126344565135
2024-03-10,Andhra Pradesh,Fruits,Banana,41.894155719015245
2024-04-09,Andhra Pradesh,Fruits,Banana,45.66636168979316
2024-05-09,Andhra Pradesh,Fruits,Banana,54.55485127088151
2024-06-08,Andhra Pradesh,Fruits,Banana,54.3330434756713
2024-07-08,Andhra Pradesh,Fruits,Banana,44.955414694683064
2024-08-07,Andhra Pradesh,Fruits,Banana,55.34702845997341
2024-09-06,Andhra Pradesh,Fruits,Banana,46.13976061623358
2024-10-06,Andhra Pradesh,Fruits,Banana,59.66405554217543
2024-11-05,Andhra Pradesh,Fruits,Banana,48.024819961482244
2020-01-01,Andhra Pradesh,Fruits,Mango,90.21530842875852
2020-01-31,Andhra Pradesh,Fruits,Mango,90.16978837144134
2020-03-01,Andhra Pradesh,Fruits,Mango,133.21562867187203
2020-03-31,Andhra Pradesh,Fruits,Mango,131.56815576068448
2020-04-30,Andhra Pradesh,Fruits,Mango,124.52679625639337
2020-05-30,Andhra Pradesh,Fruits,Mango,89.34841853633185
2020-06-29,Andhra Pradesh,Fruits,Mango,149.58680046263095
2020-07-29,Andhra Pradesh,Fruits,Mango,101.04066157516039
2020-08-28,Andhra Pradesh,Fruits,Mango,96.9211525471615
2020-09-27,Andhra Pradesh,Fruits,Mango,139.82125782384418
2020-10-27,Andhra Pradesh,Fruits,Mango,138.59017757315726
2020-11-26,Andhra Pradesh,Fruits,Mango,98.69614742462952
2020-12-26,Andhra Pradesh,Fruits,Mango,142.21332432076667
2021-01-25,Andhra Pradesh,Fruits,Mango,115.44532429210832
2021-02-24,Andhra Pradesh,Fruits,Mango,80.78026982270295
2021-03-26,Andhra Pradesh,Fruits,Mango,121.2794018037613
2021-04-25,Andhra Pradesh,Fruits,Mango,144.11819173444846
2021-05-25,Andhra Pradesh,Fruits,Mango,83.91277252265371
2021-06-24,Andhra Pradesh,Fruits,Mango,135.6928941573659
2021-07-24,Andhra Pradesh,Fruits,Mango,116.99348333204517
2021-08-23,Andhra Pradesh,Fruits,Mango,144.701116582851
2021-09-22,Andhra Pradesh,Fruits,Mango,143.02002816082512
2021-10-22,Andhra Pradesh,Fruits,Mango,99.61958087992136
2021-11-21,Andhra Pradesh,Fruits,Mango,112.67753845887924
2021-12-21,Andhra Pradesh,Fruits,Mango,116.09648527884984
2022-01-20,Andhra Pradesh,Fruits,Mango,116.47865535740166
2022-02-19,Andhra Pradesh,Fruits,Mango,108.47743452518344
2022-03-21,Andhra Pradesh,Fruits,Mango,81.01332351662232
2022-04-20,Andhra Pradesh,Fruits,Mango,97.4643996231143
2022-05-20,Andhra Pradesh,Fruits,Mango,145.77259486954745
2022-06-19,Andhra Pradesh,Fruits,Mango,91.56850100174141
2022-07-19,Andhra Pradesh,Fruits,Mango,145.27042415225628
2022-08-18,Andhra Pradesh,Fruits,Mango,134.81335897803723
2022-09-17,Andhra Pradesh,Fruits,Mango,96.82619770467976
2022-10-17,Andhra Pradesh,Fruits,Mango,95.17000024121612
2022-11-16,Andhra Pradesh,Fruits,Mango,132.79790775695233
2022-12-16,Andhra Pradesh,Fruits,Mango,137.22722111539977
2023-01-15,Andhra Pradesh,Fruits,Mango,83.3150280397358
2023-02-14,Andhra Pradesh,Fruits,Mango,84.93973392197799
2023-03-16,Andhra Pradesh,Fruits,Mango,119.51793056479997
2023-04-15,Andhra Pradesh,Fruits,Mango,123.17719423234661
2023-05-15,Andhra Pradesh,Fruits,Mango,84.33958956103562
2023-06-14,Andhra Pradesh,Fruits,Mango,97.09457231377473
2023-07-14,Andhra Pradesh,Fruits,Mango,96.64168844816675
2023-08-13,Andhra Pradesh,Fruits,Mango,110.51576239912285
2023-09-12,Andhra Pradesh,Fruits,Mango,124.21809722000046
2023-10-12,Andhra Pradesh,Fruits,Mango,90.6287503350878
2023-11-11,Andhra Pradesh,Fruits,Mango,101.8084326167801
2023-12-11,Andhra Pradesh,Fruits,Mango,95.77845796385265
2024-01-10,Andhra Pradesh,Fruits,Mango,126.44618067689977
2024-02-09,Andhra Pradesh,Fruits,Mango,103.87643381447573
2024-03-10,Andhra Pradesh,Fruits,Mango,125.48802943969935
2024-04-09,Andhra Pradesh,Fruits,Mango,102.08198002226187
2024-05-09,Andhra Pradesh,Fruits,Mango,125.86033641840919
2024-06-08,Andhra Pradesh,Fruits,Mango,120.63535548906566
2024-07-08,Andhra Pradesh,Fruits,Mango,148.74669201333745
2024-08-07,Andhra Pradesh,Fruits,Mango,102.97375957864116
2024-09-06,Andhra Pradesh,Fruits,Mango,130.97947539968425
2024-10-06,Andhra Pradesh,Fruits,Mango,94.24517637053984
2024-11-05,Andhra Pradesh,Fruits,Mango,110.05530907452905
2020-01-01,Andhra Pradesh,Fruits,Orange,52.322442856085594
2020-01-31,Andhra Pradesh,Fruits,Orange,62.815983694838586
2020-03-01,Andhra Pradesh,Fruits,Orange,50.966466631978236
2020-03-31,Andhra Pradesh,Fruits,Orange,56.92550274972496
2020-04-30,Andhra Pradesh,Fruits,Orange,79.87159066472081
2020-05-30,Andhra Pradesh,Fruits,Orange,64.42661194101723
2020-06-29,Andhra Pradesh,Fruits,Orange,65.53932606218565
2020-07-29,Andhra Pradesh,Fruits,Orange,79.47835834991488
2020-08-28,Andhra Pradesh,Fruits,Orange,63.57738900687248
2020-09-27,Andhra Pradesh,Fruits,Orange,76.88665612467025
2020-10-27,Andhra Pradesh,Fruits,Orange,77.78014626384127
2020-11-26,Andhra Pradesh,Fruits,Orange,65.77404568112463
2020-12-26,Andhra Pradesh,Fruits,Orange,55.35214356821497
2021-01-25,Andhra Pradesh,Fruits,Orange,52.6001114909351
2021-02-24,Andhra Pradesh,Fruits,Orange,73.26053203030136
2021-03-26,Andhra Pradesh,Fruits,Orange,64.65090912287454
2021-04-25,Andhra Pradesh,Fruits,Orange,65.13264686478749
2021-05-25,Andhra Pradesh,Fruits,Orange,72.35160660082764
2021-06-24,Andhra Pradesh,Fruits,Orange,64.26813980723875
2021-07-24,Andhra Pradesh,Fruits,Orange,72.03178759348727
2021-08-23,Andhra Pradesh,Fruits,Orange,54.49312600485664
2021-09-22,Andhra Pradesh,Fruits,Orange,57.39766535015101
2021-10-22,Andhra Pradesh,Fruits,Orange,79.32322598623239
2021-11-21,Andhra Pradesh,Fruits,Orange,74.14750111928721
2021-12-21,Andhra Pradesh,Fruits,Orange,52.19939469431535
2022-01-20,Andhra Pradesh,Fruits,Orange,57.44187965027411
2022-02-19,Andhra Pradesh,Fruits,Orange,59.672306066020774
2022-03-21,Andhra Pradesh,Fruits,Orange,63.618200744694974
2022-04-20,Andhra Pradesh,Fruits,Orange,57.036674465763284
2022-05-20,Andhra Pradesh,Fruits,Orange,68.10485782526794
2022-06-19,Andhra Pradesh,Fruits,Orange,78.80966928297283
2022-07-19,Andhra Pradesh,Fruits,Orange,59.791063714562846
2022-08-18,Andhra Pradesh,Fruits,Orange,50.74233733526772
2022-09-17,Andhra Pradesh,Fruits,Orange,78.76889804207448
2022-10-17,Andhra Pradesh,Fruits,Orange,71.828267216921
2022-11-16,Andhra Pradesh,Fruits,Orange,52.70061403641276
2022-12-16,Andhra Pradesh,Fruits,Orange,63.75334321849209
2023-01-15,Andhra Pradesh,Fruits,Orange,76.06264473431983
2023-02-14,Andhra Pradesh,Fruits,Orange,50.92137598417928
2023-03-16,Andhra Pradesh,Fruits,Orange,66.85057046854939
2023-04-15,Andhra Pradesh,Fruits,Orange,56.74165605831958
2023-05-15,Andhra Pradesh,Fruits,Orange,69.01244368415618
2023-06-14,Andhra Pradesh,Fruits,Orange,66.9082765206715
2023-07-14,Andhra Pradesh,Fruits,Orange,56.09167063354545
2023-08-13,Andhra Pradesh,Fruits,Orange,54.6357491808147
2023-09-12,Andhra Pradesh,Fruits,Orange,67.83741067926674
2023-10-12,Andhra Pradesh,Fruits,Orange,76.06363879753465
2023-11-11,Andhra Pradesh,Fruits,Orange,60.567446060285064
2023-12-11,Andhra Pradesh,Fruits,Orange,66.5047967410847
2024-01-10,Andhra Pradesh,Fruits,Orange,67.35464002369054
2024-02-09,Andhra Pradesh,Fruits,Orange,52.93646466849606
2024-03-10,Andhra Pradesh,Fruits,Orange,65.02215097555491
2024-04-09,Andhra Pradesh,Fruits,Orange,65.10023391451338
2024-05-09,Andhra Pradesh,Fruits,Orange,52.45670520725127
2024-06-08,Andhra Pradesh,Fruits,Orange,78.9537966302816
2024-07-08,Andhra Pradesh,Fruits,Orange,51.353967020595924
2024-08-07,Andhra Pradesh,Fruits,Orange,59.35715554132726
2024-09-06,Andhra Pradesh,Fruits,Orange,61.03448566174186
2024-10-06,Andhra Pradesh,Fruits,Orange,53.593837145415286
2024-11-05,Andhra Pradesh,Fruits,Orange,79.03048313972184
2020-01-01,Andhra Pradesh,Fruits,Pineapple,33.91408188032638
2020-01-31,Andhra Pradesh,Fruits,Pineapple,45.384050682242325
2020-03-01,Andhra Pradesh,Fruits,Pineapple,38.459669981840264
2020-03-31,Andhra Pradesh,Fruits,Pineapple,37.36435210107865
2020-04-30,Andhra Pradesh,Fruits,Pineapple,43.68612982823543
2020-05-30,Andhra Pradesh,Fruits,Pineapple,40.59316800133463
2020-06-29,Andhra Pradesh,Fruits,Pineapple,38.37088264124391
2020-07-29,Andhra Pradesh,Fruits,Pineapple,32.86319147022044
2020-08-28,Andhra Pradesh,Fruits,Pineapple,41.33058572644511
2020-09-27,Andhra Pradesh,Fruits,Pineapple,33.061800308417716
2020-10-27,Andhra Pradesh,Fruits,Pineapple,41.963297432404616
2020-11-26,Andhra Pradesh,Fruits,Pineapple,36.46782596067679
2020-12-26,Andhra Pradesh,Fruits,Pineapple,39.2968498296971
2021-01-25,Andhra Pradesh,Fruits,Pineapple,39.39373315385312
2021-02-24,Andhra Pradesh,Fruits,Pineapple,48.327227188657204
2021-03-26,Andhra Pradesh,Fruits,Pineapple,34.17697118488376
2021-04-25,Andhra Pradesh,Fruits,Pineapple,30.51540293039648
2021-05-25,Andhra Pradesh,Fruits,Pineapple,35.181742659573665
2021-06-24,Andhra Pradesh,Fruits,Pineapple,41.10654030028903
2021-07-24,Andhra Pradesh,Fruits,Pineapple,36.711879203218814
2021-08-23,Andhra Pradesh,Fruits,Pineapple,35.75682206739543
2021-09-22,Andhra Pradesh,Fruits,Pineapple,35.16118555915004
2021-10-22,Andhra Pradesh,Fruits,Pineapple,36.13942800516641
2021-11-21,Andhra Pradesh,Fruits,Pineapple,43.57684064651329
